0 0 38;0 0 0
0 0 63;4.948593 27.17943 43.30836
14.56243 -2.760381 91.36047;43.25217 14.4224 7.046216
19.09763 -19.89064 108.9953;20.19724 321.974 328.3345
-1.137268 -31.9745 134.8705;50.99656 11.28925 350.1465
2.312508 -53.73352 152.1518;9.569017 22.20359 23.19289
13.49173 -58.72059 179.5408;31.3607 67.69038 56.55565
33.24147 -71.73119 187.6446;62.7851 101.0224 48.97931
43.11712 -91.29573 185.721;16.53299 86.59235 22.35964
63.2133 -97.27164 186.9176;12.34478 125.0032 66.11759
88.81909 -104.1131 168.9861;57.79202 141.8155 93.59752
95.40899 -121.0354 160.6072;70.92998 67.60551 345.8128
102.659 -143.7183 163.5946;46.74606 55.10361 291.162
120.0816 -166.2963 175.7471;24.53251 13.69712 234.7684
128.4827 -182.4895 210.2175;20.36358 326.6355 190.586
116.6241 -190.493 228.2263;12.35369 294.814 220.7141
93.57098 -196.0555 238.8852;41.04634 269.7947 173.7659
69.43742 -217.069 238.7987;75.22457 212.4424 94.75875
64.23856 -253.8124 230.62;85.47303 65.05442 354.2528
66.95808 -291.6938 231.885;43.00004 137.3028 43.95609
78.86082 -308.0618 218.9848;3.9085 108.1587 49.37417
109.1964 -310.243 209.0352;35.24382 127.6255 91.35248
123.427 -322.9383 198.0661;57.62984 94.36124 27.10041
137.8406 -345.7427 196.9668;63.04116 197.5748 143.0958
134.4183 -368.026 186.1621;57.02045 202.4977 97.76425
128.5862 -391.5142 172.0805;73.1553 32.61795 282.6182
133.4285 -421.1841 179.6469;33.95933 0.2527831 227.7583
133.5602 -441.2938 209.5062;34.45534 1.845904 278.6354
134.5695 -462.7928 240.8235;71.34044 317.0804 215.4697
128.6869 -488.3736 247.1496;61.74343 221.7305 88.44934
