0 0 34;0 0 0
0 0 69;18.54549 7.596364 1.87127
4.38651 -11.13201 101.8913;27.32927 357.2243 342.5462
3.267975 -23.0687 124.9621;22.06512 342.2496 322.5197
-6.055867 -35.46548 154.0892;7.10568 348.8446 335.8874
-12.19936 -39.42388 185.2435;359.6932 3.613066 325.4156
-10.43488 -39.27395 213.1874;9.824253 0.01755098 308.2224
-10.42582 -44.39275 242.7475;18.53245 16.2947 320.9883
-1.646892 -54.88152 272.7794;29.0356 2.134273 304.1143
-0.6700642 -69.44212 298.9908;43.49835 345.0515 295.955
-6.283524 -90.09212 320.0161;27.63227 340.4082 304.8525
-16.08689 -105.3974 347.5596;41.80167 329.9073 287.5627
-29.54268 -129.3933 370.7789;23.53426 321.7098 287.5258
-43.74527 -139.3757 388.7688;4.166276 316.8366 288.0077
-58.7553 -140.9741 404.7733;1.384807 336.6275 287.709
-73.4292 -141.8683 438.7274;354.0326 335.8219 269.1462
-88.90868 -137.9176 473.2061;9.982015 346.8466 264.5123
-97.42505 -144.5045 509.649;9.65696 345.7891 284.3024
-106.3796 -150.7112 545.0084;29.26106 342.2553 285.2928
-114.8879 -166.3525 571.5971;9.491343 339.4631 285.8815
-122.1541 -169.8154 590.9933;353.1555 330.6122 293.1487
-141.1557 -165.1675 624.7325;11.57699 338.0086 296.0223
-152.8949 -171.5894 653.8005;22.0605 350.6878 287.7072
-158.7436 -186.2373 689.4689;40.60743 356.5991 285.2302
-159.8695 -202.5091 708.4152;25.28793 6.213376 280.4193
-157.9123 -211.0524 726.3924;39.40844 21.32089 294.9369
-150.3274 -228.1932 745.8259;33.55639 36.43431 318.7923
-131.5203 -249.198 771.3032;47.25268 32.30056 301.8214
-118.1002 -276.3691 792.5313;36.92879 10.72562 293.627
-112.7445 -297.9987 820.8063;41.23403 23.98233 285.376
