0 0 27;0 0 0
0 0 57;20.81568 36.24461 24.96714
14.92136 -9.594796 77.35419;346.1075 72.19235 20.13896
42.6485 -2.391741 86.26048;318.186 81.21944 334.6068
68.42875 20.94326 90.24251;335.9624 136.7738 312.7575
82.18945 29.90464 75.60226;347.7712 183.1829 276.0316
80.50729 36.47093 45.35239;332.9298 150.6985 249.9638
97.06733 53.76404 15.84452;340.8909 203.4237 239.1047
82.41805 66.53136 -17.96959;325.3275 227.8209 185.1213
64.13448 83.59791 -34.53596;341.0016 227.8942 232.7183
36.77619 96.29405 -59.26109;28.42123 238.6883 221.3738
20.24584 85.82315 -69.31631;9.905972 269.2586 268.8656
-10.28944 80.49017 -69.71147;50.57866 293.1043 259.7744
-29.56424 54.99776 -61.48836;64.27853 11.30166 300.0092
-26.33225 20.76301 -45.31628;70.50326 64.03766 303.3793
-20.33082 1.909798 -42.39407;69.02059 195.1187 77.6265
-23.59919 -30.77002 -54.49148;62.08331 95.52177 331.7845
-11.01678 -54.62801 -55.70786;54.61405 10.86661 227.994
-8.724206 -71.74867 -43.76521;26.66444 47.9937 221.3304
16.50953 -88.80172 -21.03962;338.7903 45.46108 235.8522
32.45735 -80.11893 -5.346436;342.746 47.2786 214.8106
50.69897 -72.40711 11.49907;348.9681 71.82613 164.8322
75.87801 -67.2405 19.76479;327.3702 73.84301 118.7374
105.8076 -47.28976 28.43579;285.2456 47.14767 166.0635
110.0487 -26.064 32.37028;298.6833 301.9781 303.1392
101.4989 -7.640999 37.70824;297.8113 32.14328 188.5083
110.6834 25.08509 52.32498;280.4982 194.0228 60.66864
109.8004 44.7503 48.78948;310.9605 157.5086 56.81959
117.8251 68.91546 29.40782;325.8062 138.6742 115.4135
136.9419 88.58527 7.667376;10.94781 143.9977 135.7249
